gene	tier	drug	drug_id	approved	score	interaction_type	directionality	n_sources	n_publications	sources
PLK1	2	MYRICETIN	drugbank:DB02375	False	0.006478823683388339			1	0	DTC
AURKB	2	DOVITINIB	ncit:C76199	False	0.006391980375954924			1	0	DTC
CDK1	2	CYC-116	chembl:CHEMBL482967	False	0.006201029696963768			1	0	DTC
CDK1	2	NVP-TAE684	iuphar.ligand:5714	False	0.005839804666072675			1	0	DTC
AURKB	2	SORAFENIB	rxcui:495881	True	0.005816702142118981			1	0	DTC
CDK1	2	PF-562271	iuphar.ligand:9381	False	0.005783652698129669			1	0	DTC
AURKB	2	NVP-TAE684	iuphar.ligand:5714	False	0.005647283633125224			1	0	DTC
AURKB	2	PF-562271	iuphar.ligand:9381	False	0.005592982828960559			1	0	DTC
PLK1	2	CHEMBL:CHEMBL429095	chembl:CHEMBL429095	False	0.005571788367713971			1	0	DTC
PLK1	2	SIMVASTATIN	rxcui:36567	True	0.005571788367713971			1	0	DTC
PLK1	2	DIPYRIDAMOLE	rxcui:3521	True	0.005462537615405855			1	0	DTC
CDK1	2	CENISERTIB	chembl:CHEMBL1967878	False	0.005230433744395527			1	0	DTC
PLK1	2	SOTRASTAURIN	ncit:C80630	False	0.005065262152467247			1	0	DTC
AURKB	2	CENISERTIB	chembl:CHEMBL1967878	False	0.005058001862712157	inhibitor	INHIBITORY	1	0	ChEMBL
PLK1	2	COMPOUND 8 [PMID: 17480064]	iuphar.ligand:8763	False	0.004158051020682068			1	0	DTC
PLK1	2	RG-1530	iuphar.ligand:10361	False	0.003239411841694169			1	0	DTC
PLK1	2	NVP-TAE684	iuphar.ligand:5714	False	0.002704751634812607			1	0	DTC
SMG1	4	COMPOUND 11J [PMID: 23021994]	iuphar.ligand:8827	False	13.23299737332068	inhibitor	INHIBITORY	1	0	GuideToPharmacology
UPF1	4	VANDETANIB	rxcui:1098413	True	0.4726070490471672	inhibitor	INHIBITORY	1	0	ClearityFoundationClinicalTrial
UPF1	4	DOVITINIB	ncit:C76199	False	0.290835107105949	inhibitor	INHIBITORY	1	0	ClearityFoundationClinicalTrial
RPL3	4	DORLIMOMAB ARITOX	chembl:CHEMBL2109124	False	0.07351665207400379	inhibitor	INHIBITORY	1	0	ChEMBL
RPL3	4	ELX-02	chembl:CHEMBL4297744	False	0.07351665207400379	modulator		1	0	ChEMBL
RPS15	4	DORLIMOMAB ARITOX	chembl:CHEMBL2109124	False	0.07351665207400379	inhibitor	INHIBITORY	1	0	ChEMBL
RPS15	4	ELX-02	chembl:CHEMBL4297744	False	0.07351665207400379	modulator		1	0	ChEMBL
RPL3	4	CITATUZUMAB BOGATOX	chembl:CHEMBL1743000	False	0.07260903908543584	inhibitor	INHIBITORY	1	0	ChEMBL
RPL3	4	MT-3724	chembl:CHEMBL4297789	False	0.07260903908543584	inhibitor	INHIBITORY	1	0	ChEMBL
RPL3	4	TAPLITUMOMAB PAPTOX	chembl:CHEMBL2107890	False	0.07260903908543584	inhibitor	INHIBITORY	1	0	ChEMBL
RPL3	4	TELIMOMAB ARITOX	chembl:CHEMBL2108790	False	0.07260903908543584	inhibitor	INHIBITORY	1	0	ChEMBL
RPL3	4	ZOLIMOMAB ARITOX	chembl:CHEMBL2108785	False	0.07260903908543584	inhibitor	INHIBITORY	1	0	ChEMBL
RPS15	4	CITATUZUMAB BOGATOX	chembl:CHEMBL1743000	False	0.07260903908543584	inhibitor	INHIBITORY	1	0	ChEMBL
RPS15	4	MT-3724	chembl:CHEMBL4297789	False	0.07260903908543584	inhibitor	INHIBITORY	1	0	ChEMBL
RPS15	4	TAPLITUMOMAB PAPTOX	chembl:CHEMBL2107890	False	0.07260903908543584	inhibitor	INHIBITORY	1	0	ChEMBL
RPS15	4	TELIMOMAB ARITOX	chembl:CHEMBL2108790	False	0.07260903908543584	inhibitor	INHIBITORY	1	0	ChEMBL
RPS15	4	ZOLIMOMAB ARITOX	chembl:CHEMBL2108785	False	0.07260903908543584	inhibitor	INHIBITORY	1	0	ChEMBL
RPL3	4	ATALUREN	ncit:C169791	True	0.07172356299902809	modulator		1	0	ChEMBL
RPS15	4	ATALUREN	ncit:C169791	True	0.07172356299902809	modulator		1	0	ChEMBL
RPL3	4	CYCLOHEXIMIDE	ncit:C171712	False	0.06190875964126634	inhibitor	INHIBITORY	1	0	ChEMBL
RPS15	4	CYCLOHEXIMIDE	ncit:C171712	False	0.06190875964126634	inhibitor	INHIBITORY	1	0	ChEMBL
