gene	drug	approved	score	n_sources	interaction_type	directionality	direction	verdict	passes_evidence	survives
AURKB	HESPERADIN	False	0.02181263303294618	2	inhibitor,inhibitor	INHIBITORY,INHIBITORY	inhibits	HARMFUL	False	False
AURKB	FASUDIL	False	0.02154334126710733	1			unknown	UNKNOWN	False	False
AURKB	LAPATINIB	True	0.02005759359351373	1			unknown	UNKNOWN	False	False
AURKB	CHEMBL:CHEMBL546797	False	0.01817719419412181	1			unknown	UNKNOWN	False	False
AURKB	CYC-116	False	0.01798980043954324	2	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	BAY 61-3606	False	0.01454175535529745	1			unknown	UNKNOWN	False	False
AURKB	SNS-314	False	0.013849290814569	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
AURKB	CP-547632	False	0.01352721428399763	1			unknown	UNKNOWN	False	False
AURKB	CHEMBL:CHEMBL379975	False	0.01321977759572495	1			unknown	UNKNOWN	False	False
AURKB	DACTOLISIB	False	0.01321977759572495	1			unknown	UNKNOWN	False	False
AURKB	SP-600125	False	0.01307124076880669	1			unknown	UNKNOWN	False	False
AURKB	GSK269962A	False	0.01264500465678039	1			unknown	UNKNOWN	False	False
AURKB	G&OUML; 6976	False	0.01264500465678039	1			unknown	UNKNOWN	False	False
AURKB	KENPAULLONE	False	0.01237596200450847	1			unknown	UNKNOWN	False	False
AURKB	CEDIRANIB	False	0.011870820698202	1			unknown	UNKNOWN	False	False
AURKB	PAZOPANIB	True	0.011870820698202	1			unknown	UNKNOWN	False	False
AURKB	PD166285	False	0.01077167063355366	1			unknown	UNKNOWN	False	False
AURKB	VANDETANIB	True	0.01038696811092675	1			unknown	UNKNOWN	False	False
AURKB	ENTRECTINIB	True	0.01020474060020873	1			unknown	UNKNOWN	False	False
AURKB	ERLOTINIB	True	0.01020474060020873	1			unknown	UNKNOWN	False	False
AURKB	GW441756X	False	0.008948772526336895	1			unknown	UNKNOWN	False	False
AURKB	LINIFANIB	False	0.008309574488741402	1			unknown	UNKNOWN	False	False
AURKB	DASATINIB ANHYDROUS	True	0.007968085126190384	1			unknown	UNKNOWN	False	False
AURKB	DOVITINIB	False	0.006391980375954924	1			unknown	UNKNOWN	False	False
AURKB	SORAFENIB	True	0.005816702142118981	1			unknown	UNKNOWN	False	False
AURKB	NVP-TAE684	False	0.005647283633125224	1			unknown	UNKNOWN	False	False
AURKB	PF-562271	False	0.005592982828960559	1			unknown	UNKNOWN	False	False
AURKB	CENISERTIB	False	0.005058001862712157	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
CFTR	TEZACAFTOR	True	10.80244683536382	5	positive modulator,activator	ACTIVATING,ACTIVATING	activates	COMPENSATORY	True	True
CFTR	LUMACAFTOR	True	7.561712784754676	6	modulator		unknown	UNKNOWN	True	False
CFTR	ELEXACAFTOR	True	6.481468101218293	3	activator	ACTIVATING	activates	COMPENSATORY	True	True
CFTR	CROFELEMER	True	2.160489367072764	4	inhibitor,inhibitor	INHIBITORY,INHIBITORY	inhibits	HARMFUL	True	False
CFTR	IOWH-032	False	2.160489367072764	2	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
CFTR	DEUTIVACAFTOR	True	2.160489367072764	2	activator,activator	ACTIVATING,ACTIVATING	activates	COMPENSATORY	True	True
CFTR	NAVOCAFTOR	False	2.160489367072764	2	positive modulator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	VANZACAFTOR	True	2.160489367072764	2	positive modulator,activator	ACTIVATING,ACTIVATING	activates	COMPENSATORY	True	True
CFTR	GALICAFTOR	False	2.160489367072764	2	positive modulator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	IVACAFTOR	True	1.80040780589397	5	activator,positive modulator	ACTIVATING,ACTIVATING	activates	COMPENSATORY	True	True
CFTR	SULFONAMIDE-01	False	1.080244683536382	1	activator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	TEZACAFTOR AND IVACAFTOR	True	1.080244683536382	1			unknown	UNKNOWN	False	False
CFTR	(R)-BPO-27	False	1.080244683536382	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
CFTR	ICENTICAFTOR	False	1.080244683536382	1	activator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	BAMOCAFTOR	False	1.080244683536382	1			unknown	UNKNOWN	False	False
CFTR	UCCF-339	False	1.080244683536382	1	activator	ACTIVATING	activates	COMPENSATORY	False	False
CFTR	CFTRINH-172	False	1.080244683536382	1	inhibitor	INHIBITORY	inhibits	HARMFUL	False	False
